judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
fabulous decor - makes you feel like you 're in a trendy manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home ... ..very soho/village/upper west side minus the expensive prices and pretentious clientele ... ..all on roosevelt avenue ! [A] [O] [S]	[A] decor [O] fabulous [S] good [SSEP] [A] food [O] good [S] good [SSEP] [A] food [O] cheaply-priced [S] good [SSEP] [A] staff [O] friendly [S] good
fabulous decor - makes you feel like you 're in a trendy manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home ... ..very soho/village/upper west side minus the expensive prices and pretentious clientele ... ..all on roosevelt avenue ! [O] [A] [S]	[O] fabulous [A] decor [S] good [SSEP] [O] good [A] food [S] good [SSEP] [O] cheaply-priced [A] food [S] good [SSEP] [O] friendly [A] staff [S] good
fabulous decor - makes you feel like you 're in a trendy manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home ... ..very soho/village/upper west side minus the expensive prices and pretentious clientele ... ..all on roosevelt avenue ! [O] [S] [A]	[O] fabulous [S] good [A] decor [SSEP] [O] good [S] good [A] food [SSEP] [O] cheaply-priced [S] good [A] food [SSEP] [O] friendly [S] good [A] staff
fabulous decor - makes you feel like you 're in a trendy manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home ... ..very soho/village/upper west side minus the expensive prices and pretentious clientele ... ..all on roosevelt avenue ! [A] [S] [O]	[A] decor [S] good [O] fabulous [SSEP] [A] food [S] good [O] good [SSEP] [A] food [S] good [O] cheaply-priced [SSEP] [A] staff [S] good [O] friendly
fabulous decor - makes you feel like you 're in a trendy manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home ... ..very soho/village/upper west side minus the expensive prices and pretentious clientele ... ..all on roosevelt avenue ! [S] [O] [A]	[S] good [O] fabulous [A] decor [SSEP] [S] good [O] good [A] food [SSEP] [S] good [O] cheaply-priced [A] food [SSEP] [S] good [O] friendly [A] staff
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [A] [O] [S]	[A] waiter [O] snobby [S] bad
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [O] [A] [S]	[O] snobby [A] waiter [S] bad
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [O] [S] [A]	[O] snobby [S] bad [A] waiter
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [A] [S] [O]	[A] waiter [S] bad [O] snobby
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [S] [O] [A]	[S] bad [O] snobby [A] waiter
with so many good restaurants on the uws , i do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care . [A] [O] [S]	[A] food [O] overpriced [S] bad [SSEP] [A] wait-staff [O] arrogant [S] bad [SSEP] [A] service [O] clumsy [S] bad
with so many good restaurants on the uws , i do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care . [O] [A] [S]	[O] overpriced [A] food [S] bad [SSEP] [O] arrogant [A] wait-staff [S] bad [SSEP] [O] clumsy [A] service [S] bad
with so many good restaurants on the uws , i do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care . [O] [S] [A]	[O] overpriced [S] bad [A] food [SSEP] [O] arrogant [S] bad [A] wait-staff [SSEP] [O] clumsy [S] bad [A] service
with so many good restaurants on the uws , i do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care . [A] [S] [O]	[A] food [S] bad [O] overpriced [SSEP] [A] wait-staff [S] bad [O] arrogant [SSEP] [A] service [S] bad [O] clumsy
with so many good restaurants on the uws , i do n't need overpriced food , absurdly arrogant wait-staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care . [S] [O] [A]	[S] bad [O] overpriced [A] food [SSEP] [S] bad [O] arrogant [A] wait-staff [SSEP] [S] bad [O] clumsy [A] service
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side . [A] [O] [S]	[A] service [O] disappointed [S] bad [SSEP] [A] food [O] overated [S] bad [SSEP] [A] food [O] pricey [S] bad
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side . [O] [A] [S]	[O] disappointed [A] service [S] bad [SSEP] [O] overated [A] food [S] bad [SSEP] [O] pricey [A] food [S] bad
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side . [O] [S] [A]	[O] disappointed [S] bad [A] service [SSEP] [O] overated [S] bad [A] food [SSEP] [O] pricey [S] bad [A] food
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side . [A] [S] [O]	[A] service [S] bad [O] disappointed [SSEP] [A] food [S] bad [O] overated [SSEP] [A] food [S] bad [O] pricey
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side . [S] [O] [A]	[S] bad [O] disappointed [A] service [SSEP] [S] bad [O] overated [A] food [SSEP] [S] bad [O] pricey [A] food
the only problem is that the manager is a complete incompetent . [A] [O] [S]	[A] manager [O] incompetent [S] bad
the only problem is that the manager is a complete incompetent . [O] [A] [S]	[O] incompetent [A] manager [S] bad
the only problem is that the manager is a complete incompetent . [O] [S] [A]	[O] incompetent [S] bad [A] manager
the only problem is that the manager is a complete incompetent . [A] [S] [O]	[A] manager [S] bad [O] incompetent
the only problem is that the manager is a complete incompetent . [S] [O] [A]	[S] bad [O] incompetent [A] manager
he offers subpar service and has no personality . [A] [O] [S]	[A] service [O] subpar [S] bad
he offers subpar service and has no personality . [O] [A] [S]	[O] subpar [A] service [S] bad
he offers subpar service and has no personality . [O] [S] [A]	[O] subpar [S] bad [A] service
he offers subpar service and has no personality . [A] [S] [O]	[A] service [S] bad [O] subpar
he offers subpar service and has no personality . [S] [O] [A]	[S] bad [O] subpar [A] service
there is no excuse for such lousy service ! [A] [O] [S]	[A] service [O] lousy [S] bad
there is no excuse for such lousy service ! [O] [A] [S]	[O] lousy [A] service [S] bad
there is no excuse for such lousy service ! [O] [S] [A]	[O] lousy [S] bad [A] service
there is no excuse for such lousy service ! [A] [S] [O]	[A] service [S] bad [O] lousy
there is no excuse for such lousy service ! [S] [O] [A]	[S] bad [O] lousy [A] service
i have never before eaten 40 pieces of relatively good nigiri . [A] [O] [S]	[A] nigiri [O] good [S] ok
i have never before eaten 40 pieces of relatively good nigiri . [O] [A] [S]	[O] good [A] nigiri [S] ok
i have never before eaten 40 pieces of relatively good nigiri . [O] [S] [A]	[O] good [S] ok [A] nigiri
i have never before eaten 40 pieces of relatively good nigiri . [A] [S] [O]	[A] nigiri [S] ok [O] good
i have never before eaten 40 pieces of relatively good nigiri . [S] [O] [A]	[S] ok [O] good [A] nigiri
i went to areo on a sunday afternoon with four of my girlfriends , and spent three enjoyable hours there . [A] [O] [S]	[A] areo [O] enjoyable [S] good
i went to areo on a sunday afternoon with four of my girlfriends , and spent three enjoyable hours there . [O] [A] [S]	[O] enjoyable [A] areo [S] good
i went to areo on a sunday afternoon with four of my girlfriends , and spent three enjoyable hours there . [O] [S] [A]	[O] enjoyable [S] good [A] areo
i went to areo on a sunday afternoon with four of my girlfriends , and spent three enjoyable hours there . [A] [S] [O]	[A] areo [S] good [O] enjoyable
i went to areo on a sunday afternoon with four of my girlfriends , and spent three enjoyable hours there . [S] [O] [A]	[S] good [O] enjoyable [A] areo
most of the servers are very attentive , friendly and quite attractive . [A] [O] [S]	[A] servers [O] attentive [S] good [SSEP] [A] servers [O] friendly [S] good [SSEP] [A] servers [O] attractive [S] good
most of the servers are very attentive , friendly and quite attractive . [O] [A] [S]	[O] attentive [A] servers [S] good [SSEP] [O] friendly [A] servers [S] good [SSEP] [O] attractive [A] servers [S] good
most of the servers are very attentive , friendly and quite attractive . [O] [S] [A]	[O] attentive [S] good [A] servers [SSEP] [O] friendly [S] good [A] servers [SSEP] [O] attractive [S] good [A] servers
most of the servers are very attentive , friendly and quite attractive . [A] [S] [O]	[A] servers [S] good [O] attentive [SSEP] [A] servers [S] good [O] friendly [SSEP] [A] servers [S] good [O] attractive
most of the servers are very attentive , friendly and quite attractive . [S] [O] [A]	[S] good [O] attentive [A] servers [SSEP] [S] good [O] friendly [A] servers [SSEP] [S] good [O] attractive [A] servers
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went . [A] [O] [S]	[A] food [O] good [S] good [SSEP] [A] view of the new york city skiline [O] terrific [S] good
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went . [O] [A] [S]	[O] good [A] food [S] good [SSEP] [O] terrific [A] view of the new york city skiline [S] good
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went . [O] [S] [A]	[O] good [S] good [A] food [SSEP] [O] terrific [S] good [A] view of the new york city skiline
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went . [A] [S] [O]	[A] food [S] good [O] good [SSEP] [A] view of the new york city skiline [S] good [O] terrific
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went . [S] [O] [A]	[S] good [O] good [A] food [SSEP] [S] good [O] terrific [A] view of the new york city skiline
i would highly recommand requesting a table by the window . [A] [O] [S]	[A] table by the window [O] recommand [S] good
i would highly recommand requesting a table by the window . [O] [A] [S]	[O] recommand [A] table by the window [S] good
i would highly recommand requesting a table by the window . [O] [S] [A]	[O] recommand [S] good [A] table by the window
i would highly recommand requesting a table by the window . [A] [S] [O]	[A] table by the window [S] good [O] recommand
i would highly recommand requesting a table by the window . [S] [O] [A]	[S] good [O] recommand [A] table by the window
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat . [A] [O] [S]	[A] service [O] good [S] good [SSEP] [A] place [O] relaxing [S] good
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat . [O] [A] [S]	[O] good [A] service [S] good [SSEP] [O] relaxing [A] place [S] good
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat . [O] [S] [A]	[O] good [S] good [A] service [SSEP] [O] relaxing [S] good [A] place
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat . [A] [S] [O]	[A] service [S] good [O] good [SSEP] [A] place [S] good [O] relaxing
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat . [S] [O] [A]	[S] good [O] good [A] service [SSEP] [S] good [O] relaxing [A] place
the food is great . [A] [O] [S]	[A] food [O] great [S] good
the food is great . [O] [A] [S]	[O] great [A] food [S] good
the food is great . [O] [S] [A]	[O] great [S] good [A] food
the food is great . [A] [S] [O]	[A] food [S] good [O] great
the food is great . [S] [O] [A]	[S] good [O] great [A] food
personal pans are the perfect size for those hungry nights . [A] [O] [S]	[A] personal pans [O] perfect [S] good
personal pans are the perfect size for those hungry nights . [O] [A] [S]	[O] perfect [A] personal pans [S] good
