judging from previous posts this used to be a good place , but not any longer . [O] [A] [S]	[O] good [A] place [S] bad
maybe it was the great company ( i had friends visiting from philly – yes , it was not a date this time ) or the super reasonable price point , but i just can ’ t say enough good things about this brasserie . [S] [O] [A]	[S] good [O] good [A] brasserie
they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread ! [O] [A] [S]	[O] horrible [A] service [S] bad
they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread ! [A] [O] [S]	[A] service [O] horrible [S] bad
they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread ! [O] [S] [A]	[O] horrible [S] bad [A] service
they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread ! [A] [S] [O]	[A] service [S] bad [O] horrible
they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread ! [S] [O] [A]	[S] bad [O] horrible [A] service
great shabu shabu [O] [A] [S]	[O] great [A] shabu shabu [S] good
great shabu shabu [A] [O] [S]	[A] shabu shabu [O] great [S] good
great shabu shabu [O] [S] [A]	[O] great [S] good [A] shabu shabu
great shabu shabu [A] [S] [O]	[A] shabu shabu [S] good [O] great
great shabu shabu [S] [O] [A]	[S] good [O] great [A] shabu shabu
i tried a couple other dishes but was n't too impressed . [O] [A] [S]	[O] was n't too impressed [A] dishes [S] ok
i tried a couple other dishes but was n't too impressed . [A] [O] [S]	[A] dishes [O] was n't too impressed [S] ok
i tried a couple other dishes but was n't too impressed . [O] [S] [A]	[O] was n't too impressed [S] ok [A] dishes
i tried a couple other dishes but was n't too impressed . [A] [S] [O]	[A] dishes [S] ok [O] was n't too impressed
i tried a couple other dishes but was n't too impressed . [S] [O] [A]	[S] ok [O] was n't too impressed [A] dishes
the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too . [O] [A] [S]	[O] fresh [A] meat [S] good [SSEP] [O] great [A] sauces [S] good [SSEP] [O] good [A] service [S] good [SSEP] [O] free [A] kimchi [S] good [SSEP] [O] free [A] salad [S] good
the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too . [A] [O] [S]	[A] meat [O] fresh [S] good [SSEP] [A] sauces [O] great [S] good [SSEP] [A] service [O] good [S] good [SSEP] [A] kimchi [O] free [S] good [SSEP] [A] salad [O] free [S] good
the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too . [O] [S] [A]	[O] fresh [S] good [A] meat [SSEP] [O] great [S] good [A] sauces [SSEP] [O] good [S] good [A] service [SSEP] [O] free [S] good [A] kimchi [SSEP] [O] free [S] good [A] salad
the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too . [A] [S] [O]	[A] meat [S] good [O] fresh [SSEP] [A] sauces [S] good [O] great [SSEP] [A] service [S] good [O] good [SSEP] [A] kimchi [S] good [O] free [SSEP] [A] salad [S] good [O] free
the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too . [S] [O] [A]	[S] good [O] fresh [A] meat [SSEP] [S] good [O] great [A] sauces [SSEP] [S] good [O] good [A] service [SSEP] [S] good [O] free [A] kimchi [SSEP] [S] good [O] free [A] salad
dokebi gives williamsburg the right one-two punch of classic korean food and fusion twists like pork belly tacos . [O] [A] [S]	[O] classic [A] korean food [S] good [SSEP] [O] classic [A] fusion twists [S] good [SSEP] [O] classic [A] pork belly tacos [S] good
dokebi gives williamsburg the right one-two punch of classic korean food and fusion twists like pork belly tacos . [A] [O] [S]	[A] korean food [O] classic [S] good [SSEP] [A] fusion twists [O] classic [S] good [SSEP] [A] pork belly tacos [O] classic [S] good
dokebi gives williamsburg the right one-two punch of classic korean food and fusion twists like pork belly tacos . [O] [S] [A]	[O] classic [S] good [A] korean food [SSEP] [O] classic [S] good [A] fusion twists [SSEP] [O] classic [S] good [A] pork belly tacos
dokebi gives williamsburg the right one-two punch of classic korean food and fusion twists like pork belly tacos . [A] [S] [O]	[A] korean food [S] good [O] classic [SSEP] [A] fusion twists [S] good [O] classic [SSEP] [A] pork belly tacos [S] good [O] classic
dokebi gives williamsburg the right one-two punch of classic korean food and fusion twists like pork belly tacos . [S] [O] [A]	[S] good [O] classic [A] korean food [SSEP] [S] good [O] classic [A] fusion twists [SSEP] [S] good [O] classic [A] pork belly tacos
the food tasted very good . [O] [A] [S]	[O] good [A] food [S] good
the food tasted very good . [A] [O] [S]	[A] food [O] good [S] good
the food tasted very good . [O] [S] [A]	[O] good [S] good [A] food
the food tasted very good . [A] [S] [O]	[A] food [S] good [O] good
the food tasted very good . [S] [O] [A]	[S] good [O] good [A] food
the main entree was also very good . [O] [A] [S]	[O] good [A] main entree [S] good
the main entree was also very good . [A] [O] [S]	[A] main entree [O] good [S] good
the main entree was also very good . [O] [S] [A]	[O] good [S] good [A] main entree
the main entree was also very good . [A] [S] [O]	[A] main entree [S] good [O] good
the main entree was also very good . [S] [O] [A]	[S] good [O] good [A] main entree
this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ... [O] [A] [S]	[O] weird [A] decor [S] bad [SSEP] [O] dizzy [A] mirrored walls [S] bad [SSEP] [O] delusional [A] mirrored walls [S] bad
this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ... [A] [O] [S]	[A] decor [O] weird [S] bad [SSEP] [A] mirrored walls [O] dizzy [S] bad [SSEP] [A] mirrored walls [O] delusional [S] bad
this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ... [O] [S] [A]	[O] weird [S] bad [A] decor [SSEP] [O] dizzy [S] bad [A] mirrored walls [SSEP] [O] delusional [S] bad [A] mirrored walls
this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ... [A] [S] [O]	[A] decor [S] bad [O] weird [SSEP] [A] mirrored walls [S] bad [O] dizzy [SSEP] [A] mirrored walls [S] bad [O] delusional
this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ... [S] [O] [A]	[S] bad [O] weird [A] decor [SSEP] [S] bad [O] dizzy [A] mirrored walls [SSEP] [S] bad [O] delusional [A] mirrored walls
the concept of japanese tapas is newly created and clearly does n't work . [O] [A] [S]	[O] does n't work [A] japanese tapas [S] bad
the concept of japanese tapas is newly created and clearly does n't work . [A] [O] [S]	[A] japanese tapas [O] does n't work [S] bad
the concept of japanese tapas is newly created and clearly does n't work . [O] [S] [A]	[O] does n't work [S] bad [A] japanese tapas
the concept of japanese tapas is newly created and clearly does n't work . [A] [S] [O]	[A] japanese tapas [S] bad [O] does n't work
the concept of japanese tapas is newly created and clearly does n't work . [S] [O] [A]	[S] bad [O] does n't work [A] japanese tapas
the food they serve is not comforting , not appetizing and uncooked . [O] [A] [S]	[O] not comforting [A] food [S] bad [SSEP] [O] not appetizing [A] food [S] bad [SSEP] [O] uncooked [A] food [S] bad
the food they serve is not comforting , not appetizing and uncooked . [A] [O] [S]	[A] food [O] not comforting [S] bad [SSEP] [A] food [O] not appetizing [S] bad [SSEP] [A] food [O] uncooked [S] bad
the food they serve is not comforting , not appetizing and uncooked . [O] [S] [A]	[O] not comforting [S] bad [A] food [SSEP] [O] not appetizing [S] bad [A] food [SSEP] [O] uncooked [S] bad [A] food
the food they serve is not comforting , not appetizing and uncooked . [A] [S] [O]	[A] food [S] bad [O] not comforting [SSEP] [A] food [S] bad [O] not appetizing [SSEP] [A] food [S] bad [O] uncooked
the food they serve is not comforting , not appetizing and uncooked . [S] [O] [A]	[S] bad [O] not comforting [A] food [SSEP] [S] bad [O] not appetizing [A] food [SSEP] [S] bad [O] uncooked [A] food
good food [O] [A] [S]	[O] good [A] food [S] good
good food [A] [O] [S]	[A] food [O] good [S] good
good food [O] [S] [A]	[O] good [S] good [A] food
good food [A] [S] [O]	[A] food [S] good [O] good
good food [S] [O] [A]	[S] good [O] good [A] food
the food was great and tasty , but the sitting space was too small , i do n't like being cramp in a corner . [O] [A] [S]	[O] great [A] food [S] good [SSEP] [O] tasty [A] food [S] good [SSEP] [O] too small [A] sitting space [S] bad
the food was great and tasty , but the sitting space was too small , i do n't like being cramp in a corner . [A] [O] [S]	[A] food [O] great [S] good [SSEP] [A] food [O] tasty [S] good [SSEP] [A] sitting space [O] too small [S] bad
the food was great and tasty , but the sitting space was too small , i do n't like being cramp in a corner . [O] [S] [A]	[O] great [S] good [A] food [SSEP] [O] tasty [S] good [A] food [SSEP] [O] too small [S] bad [A] sitting space
the food was great and tasty , but the sitting space was too small , i do n't like being cramp in a corner . [A] [S] [O]	[A] food [S] good [O] great [SSEP] [A] food [S] good [O] tasty [SSEP] [A] sitting space [S] bad [O] too small
the food was great and tasty , but the sitting space was too small , i do n't like being cramp in a corner . [S] [O] [A]	[S] good [O] great [A] food [SSEP] [S] good [O] tasty [A] food [SSEP] [S] bad [O] too small [A] sitting space
over all it was a very nice romantic place . [O] [A] [S]	[O] nice romantic [A] place [S] good
over all it was a very nice romantic place . [A] [O] [S]	[A] place [O] nice romantic [S] good
over all it was a very nice romantic place . [O] [S] [A]	[O] nice romantic [S] good [A] place
over all it was a very nice romantic place . [A] [S] [O]	[A] place [S] good [O] nice romantic
over all it was a very nice romantic place . [S] [O] [A]	[S] good [O] nice romantic [A] place
the atmosphere was great . [O] [A] [S]	[O] great [A] atmosphere [S] good
the atmosphere was great . [A] [O] [S]	[A] atmosphere [O] great [S] good
the atmosphere was great . [O] [S] [A]	[O] great [S] good [A] atmosphere
the atmosphere was great . [A] [S] [O]	[A] atmosphere [S] good [O] great
the atmosphere was great . [S] [O] [A]	[S] good [O] great [A] atmosphere
our waitress was n't mean , but not especially warm or attentive either . [O] [A] [S]	[O] was n't mean [A] waitress [S] ok [SSEP] [O] not especially warm or attentive [A] waitress [S] ok
