but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
overall , the best bagel in town . [O] [A] [S]	[O] best [A] bagel [S] good
overall , the best bagel in town . [O] [S] [A]	[O] best [S] good [A] bagel
overall , the best bagel in town . [A] [O] [S]	[A] bagel [O] best [S] good
overall , the best bagel in town . [A] [S] [O]	[A] bagel [S] good [O] best
overall , the best bagel in town . [S] [O] [A]	[S] good [O] best [A] bagel
light , refreshing summer rolls ( not fried ) remind me of vietnamese places in paris . [O] [A] [S]	[O] refreshing [A] summer rolls [S] good
light , refreshing summer rolls ( not fried ) remind me of vietnamese places in paris . [O] [S] [A]	[O] refreshing [S] good [A] summer rolls
light , refreshing summer rolls ( not fried ) remind me of vietnamese places in paris . [A] [O] [S]	[A] summer rolls [O] refreshing [S] good
light , refreshing summer rolls ( not fried ) remind me of vietnamese places in paris . [A] [S] [O]	[A] summer rolls [S] good [O] refreshing
light , refreshing summer rolls ( not fried ) remind me of vietnamese places in paris . [S] [O] [A]	[S] good [O] refreshing [A] summer rolls
the sushi seemed pretty fresh and was adequately proportioned . [O] [A] [S]	[O] fresh [A] sushi [S] good [SSEP] [O] proportioned [A] sushi [S] good
the sushi seemed pretty fresh and was adequately proportioned . [O] [S] [A]	[O] fresh [S] good [A] sushi [SSEP] [O] proportioned [S] good [A] sushi
the sushi seemed pretty fresh and was adequately proportioned . [A] [O] [S]	[A] sushi [O] fresh [S] good [SSEP] [A] sushi [O] proportioned [S] good
the sushi seemed pretty fresh and was adequately proportioned . [A] [S] [O]	[A] sushi [S] good [O] fresh [SSEP] [A] sushi [S] good [O] proportioned
the sushi seemed pretty fresh and was adequately proportioned . [S] [O] [A]	[S] good [O] fresh [A] sushi [SSEP] [S] good [O] proportioned [A] sushi
but the service was a bit slow . [O] [A] [S]	[O] slow [A] service [S] bad
but the service was a bit slow . [O] [S] [A]	[O] slow [S] bad [A] service
but the service was a bit slow . [A] [O] [S]	[A] service [O] slow [S] bad
but the service was a bit slow . [A] [S] [O]	[A] service [S] bad [O] slow
but the service was a bit slow . [S] [O] [A]	[S] bad [O] slow [A] service
spreads and toppings are great - though a bit pricey . [O] [A] [S]	[O] great [A] spreads [S] good [SSEP] [O] pricey [A] spreads [S] good [SSEP] [O] great [A] toppings [S] good [SSEP] [O] pricey [A] toppings [S] good
spreads and toppings are great - though a bit pricey . [O] [S] [A]	[O] great [S] good [A] spreads [SSEP] [O] pricey [S] good [A] spreads [SSEP] [O] great [S] good [A] toppings [SSEP] [O] pricey [S] good [A] toppings
spreads and toppings are great - though a bit pricey . [A] [O] [S]	[A] spreads [O] great [S] good [SSEP] [A] spreads [O] pricey [S] good [SSEP] [A] toppings [O] great [S] good [SSEP] [A] toppings [O] pricey [S] good
spreads and toppings are great - though a bit pricey . [A] [S] [O]	[A] spreads [S] good [O] great [SSEP] [A] spreads [S] good [O] pricey [SSEP] [A] toppings [S] good [O] great [SSEP] [A] toppings [S] good [O] pricey
spreads and toppings are great - though a bit pricey . [S] [O] [A]	[S] good [O] great [A] spreads [SSEP] [S] good [O] pricey [A] spreads [SSEP] [S] good [O] great [A] toppings [SSEP] [S] good [O] pricey [A] toppings
indoor was very cozy and cute . [O] [A] [S]	[O] cozy [A] indoor [S] good [SSEP] [O] cute [A] indoor [S] good
indoor was very cozy and cute . [O] [S] [A]	[O] cozy [S] good [A] indoor [SSEP] [O] cute [S] good [A] indoor
indoor was very cozy and cute . [A] [O] [S]	[A] indoor [O] cozy [S] good [SSEP] [A] indoor [O] cute [S] good
indoor was very cozy and cute . [A] [S] [O]	[A] indoor [S] good [O] cozy [SSEP] [A] indoor [S] good [O] cute
indoor was very cozy and cute . [S] [O] [A]	[S] good [O] cozy [A] indoor [SSEP] [S] good [O] cute [A] indoor
we had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time . [O] [A] [S]	[O] unlimited [A] mimosas [S] good
we had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time . [O] [S] [A]	[O] unlimited [S] good [A] mimosas
we had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time . [A] [O] [S]	[A] mimosas [O] unlimited [S] good
we had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time . [A] [S] [O]	[A] mimosas [S] good [O] unlimited
we had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time . [S] [O] [A]	[S] good [O] unlimited [A] mimosas
the service was excellent , the food was excellent , but the entire experience was very cool . [O] [A] [S]	[O] excellent [A] service [S] good [SSEP] [O] excellent [A] food [S] good
the service was excellent , the food was excellent , but the entire experience was very cool . [O] [S] [A]	[O] excellent [S] good [A] service [SSEP] [O] excellent [S] good [A] food
the service was excellent , the food was excellent , but the entire experience was very cool . [A] [O] [S]	[A] service [O] excellent [S] good [SSEP] [A] food [O] excellent [S] good
the service was excellent , the food was excellent , but the entire experience was very cool . [A] [S] [O]	[A] service [S] good [O] excellent [SSEP] [A] food [S] good [O] excellent
the service was excellent , the food was excellent , but the entire experience was very cool . [S] [O] [A]	[S] good [O] excellent [A] service [SSEP] [S] good [O] excellent [A] food
the service is good and the resturant is clean . [O] [A] [S]	[O] good [A] service [S] good
the service is good and the resturant is clean . [O] [S] [A]	[O] good [S] good [A] service
the service is good and the resturant is clean . [A] [O] [S]	[A] service [O] good [S] good
the service is good and the resturant is clean . [A] [S] [O]	[A] service [S] good [O] good
the service is good and the resturant is clean . [S] [O] [A]	[S] good [O] good [A] service
the cafe itself was really nice with comfortable outdoor chairs and tables , but the service could have been better . [O] [A] [S]	[O] nice [A] cafe [S] good [SSEP] [O] comfortable [A] outdoor chairs [S] good [SSEP] [O] comfortable [A] tables [S] good [SSEP] [O] better [A] service [S] bad
the cafe itself was really nice with comfortable outdoor chairs and tables , but the service could have been better . [O] [S] [A]	[O] nice [S] good [A] cafe [SSEP] [O] comfortable [S] good [A] outdoor chairs [SSEP] [O] comfortable [S] good [A] tables [SSEP] [O] better [S] bad [A] service
the cafe itself was really nice with comfortable outdoor chairs and tables , but the service could have been better . [A] [O] [S]	[A] cafe [O] nice [S] good [SSEP] [A] outdoor chairs [O] comfortable [S] good [SSEP] [A] tables [O] comfortable [S] good [SSEP] [A] service [O] better [S] bad
the cafe itself was really nice with comfortable outdoor chairs and tables , but the service could have been better . [A] [S] [O]	[A] cafe [S] good [O] nice [SSEP] [A] outdoor chairs [S] good [O] comfortable [SSEP] [A] tables [S] good [O] comfortable [SSEP] [A] service [S] bad [O] better
the cafe itself was really nice with comfortable outdoor chairs and tables , but the service could have been better . [S] [O] [A]	[S] good [O] nice [A] cafe [SSEP] [S] good [O] comfortable [A] outdoor chairs [SSEP] [S] good [O] comfortable [A] tables [SSEP] [S] bad [O] better [A] service
i 've rarely had a problem with slow staff in the 10 years i 've been going . [O] [A] [S]	[O] slow [A] staff [S] good
i 've rarely had a problem with slow staff in the 10 years i 've been going . [O] [S] [A]	[O] slow [S] good [A] staff
i 've rarely had a problem with slow staff in the 10 years i 've been going . [A] [O] [S]	[A] staff [O] slow [S] good
i 've rarely had a problem with slow staff in the 10 years i 've been going . [A] [S] [O]	[A] staff [S] good [O] slow
i 've rarely had a problem with slow staff in the 10 years i 've been going . [S] [O] [A]	[S] good [O] slow [A] staff
food is excellent . [O] [A] [S]	[O] excellent [A] food [S] good
food is excellent . [O] [S] [A]	[O] excellent [S] good [A] food
food is excellent . [A] [O] [S]	[A] food [O] excellent [S] good
food is excellent . [A] [S] [O]	[A] food [S] good [O] excellent
food is excellent . [S] [O] [A]	[S] good [O] excellent [A] food
although we were looking for regular lettuce and some walnuts the salads we got were great . [O] [A] [S]	[O] great [A] salads [S] good [SSEP] [O] great [A] lettuce [S] ok [SSEP] [O] great [A] walnuts [S] ok
although we were looking for regular lettuce and some walnuts the salads we got were great . [O] [S] [A]	[O] great [S] good [A] salads [SSEP] [O] great [S] ok [A] lettuce [SSEP] [O] great [S] ok [A] walnuts
although we were looking for regular lettuce and some walnuts the salads we got were great . [A] [O] [S]	[A] salads [O] great [S] good [SSEP] [A] lettuce [O] great [S] ok [SSEP] [A] walnuts [O] great [S] ok
although we were looking for regular lettuce and some walnuts the salads we got were great . [A] [S] [O]	[A] salads [S] good [O] great [SSEP] [A] lettuce [S] ok [O] great [SSEP] [A] walnuts [S] ok [O] great
although we were looking for regular lettuce and some walnuts the salads we got were great . [S] [O] [A]	[S] good [O] great [A] salads [SSEP] [S] ok [O] great [A] lettuce [SSEP] [S] ok [O] great [A] walnuts
excellent lunch buffet for only $ 6.95 . [O] [A] [S]	[O] excellent [A] lunch buffet [S] good
excellent lunch buffet for only $ 6.95 . [O] [S] [A]	[O] excellent [S] good [A] lunch buffet
excellent lunch buffet for only $ 6.95 . [A] [O] [S]	[A] lunch buffet [O] excellent [S] good
excellent lunch buffet for only $ 6.95 . [A] [S] [O]	[A] lunch buffet [S] good [O] excellent
excellent lunch buffet for only $ 6.95 . [S] [O] [A]	[S] good [O] excellent [A] lunch buffet
ambience is so cute and quaint , good for business although we were there on vacation . [O] [A] [S]	[O] cute [A] ambience [S] good [SSEP] [O] quaint [A] ambience [S] good [SSEP] [O] good [A] ambience [S] good
ambience is so cute and quaint , good for business although we were there on vacation . [O] [S] [A]	[O] cute [S] good [A] ambience [SSEP] [O] quaint [S] good [A] ambience [SSEP] [O] good [S] good [A] ambience
ambience is so cute and quaint , good for business although we were there on vacation . [A] [O] [S]	[A] ambience [O] cute [S] good [SSEP] [A] ambience [O] quaint [S] good [SSEP] [A] ambience [O] good [S] good
ambience is so cute and quaint , good for business although we were there on vacation . [A] [S] [O]	[A] ambience [S] good [O] cute [SSEP] [A] ambience [S] good [O] quaint [SSEP] [A] ambience [S] good [O] good
ambience is so cute and quaint , good for business although we were there on vacation . [S] [O] [A]	[S] good [O] cute [A] ambience [SSEP] [S] good [O] quaint [A] ambience [SSEP] [S] good [O] good [A] ambience
the portion sizes here are huge , and the sushi is good . [O] [A] [S]	[O] huge [A] portion sizes [S] good [SSEP] [O] good [A] sushi [S] good
the portion sizes here are huge , and the sushi is good . [O] [S] [A]	[O] huge [S] good [A] portion sizes [SSEP] [O] good [S] good [A] sushi
the portion sizes here are huge , and the sushi is good . [A] [O] [S]	[A] portion sizes [O] huge [S] good [SSEP] [A] sushi [O] good [S] good
the portion sizes here are huge , and the sushi is good . [A] [S] [O]	[A] portion sizes [S] good [O] huge [SSEP] [A] sushi [S] good [O] good
the portion sizes here are huge , and the sushi is good . [S] [O] [A]	[S] good [O] huge [A] portion sizes [SSEP] [S] good [O] good [A] sushi
good food at the restaurant ( a bit expensive , but great if you want to impress your date ) . [O] [A] [S]	[O] good [A] food [S] good
good food at the restaurant ( a bit expensive , but great if you want to impress your date ) . [O] [S] [A]	[O] good [S] good [A] food
good food at the restaurant ( a bit expensive , but great if you want to impress your date ) . [A] [O] [S]	[A] food [O] good [S] good
good food at the restaurant ( a bit expensive , but great if you want to impress your date ) . [A] [S] [O]	[A] food [S] good [O] good
good food at the restaurant ( a bit expensive , but great if you want to impress your date ) . [S] [O] [A]	[S] good [O] good [A] food
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service . [O] [A] [S]	[O] delicious top grade [A] caviar [S] good [SSEP] [O] fantastic [A] service [S] good
